OBJECTID,LIT,unitName,subunitName,acreage
1,SLW,Lewis 1,22,29.52519661
2,SLW,Lewis 6,22,58.58068249
3,SLW,HQ-7,27a,87.39454552
4,SLW,LIC,57,70.77863814
5,SLW,Beach Lake 3,,18.14241719
6,SLW,Beach Lake 1,,40.68074592
7,PIX,1,,140.9450633
8,PIX,8B,,43.95313835
9,PIX,6,,114.2581316
10,PIX,7A,,31.28823217
11,PIX,9A,,30.51001883
12,PIX,9B,,33.34437476
13,PIX,8A,,28.727987
14,PIX,7B,,30.19518305
15,PIX,4,,44.63099638
16,PIX,4A,,45.14969748
17,PIX,3A,,74.10358687
18,PIX,3,,48.35620499
19,PIX,2,,49.60453871
20,PIX,2A,,55.42700528
21,MDC,Grandma Tract 10,,34.57202012
22,MDC,Grandma Tract 2,,20.98724649
23,MDC,Grandma Tract 3,,30.84290732
24,MDC,Grandma Tract 4,,29.47455689
25,MDC,Grandma Tract 7,,35.26217955
26,MDC,Grandma Tract 8,,27.59091936
27,MDC,Grandma Tract 9,,27.55813315
28,MDC,Grandma Tract 11,,14.94748643
29,MDC,Gadwall,,64.31560295
30,MDC,J Pond,,56.4083263
31,MDC,House Field,,62.73892947
32,MDC,Matney 3,,29.66714927
33,MDC,Matney 4 North,,20.48832782
34,MDC,Matney 8,,31.0923477
35,MDC,South Dam Pond,,20.98358459
36,MDC,Matney 6,,23.30735502
37,MDC,Matney 4 South,,18.69113856
38,MDC,Matney 7,,24.99200217
39,MDC,Flournoy Pond,,53.68736606
40,MDC,Duck Ponds,,177.1639493
41,MDC,Upper Goose Pond,,52.4516678
42,KRN,14,14G-1,133.0157014
43,KRN,14,1.40E+00,85.87896493
44,KRN,14,14-F,102.5051135
45,KRN,14,14C-1,92.72155646
46,KRN,14,14A-1,60.39697053
47,KRN,14,14B-2,91.71508333
48,KRN,14,14D-1,82.39702012
49,KRN,6A,6A-1,53.92744619
50,KRN,6A,6A-2,50.00555584
51,KRN,6A,6A-4,28.40999815
52,KRN,6A,6A-5,34.05345346
53,KRN,5B,5B-1,22.79870207
54,KRN,5B,5B-3,57.5442098
55,KRN,5B,5B-5,50.14786394
56,KRN,5B,5B-6,31.98835362
57,KRN,5B,5B-2,29.47975983
58,KRN,5B,5B-7,29.78457267
59,KRN,5A,5A-5,33.0281061
60,KRN,5A,5A-3,52.42501248
61,KRN,5A,5A-1,46.27578177
62,KRN,5A,5A-7,48.51385747
63,KRN,5A,5A-4,46.75496151
64,KRN,4A,4A-1,48.10715878
65,KRN,4A,4A-3,22.18586944
66,KRN,4A,4A-6,65.8410128
67,KRN,4A,4A-2,43.13099831
68,KRN,4A,4A-7,45.93708218
69,KRN,4B,4B-1,63.90012641
70,KRN,4B,4B-2,43.65361501
71,KRN,4B,4B-4,21.25175568
72,KRN,4A,4A-5,54.22045057
73,KRN,14,14G-2,119.7564604
74,KRN,14,1.40E-01,81.55543923
75,KRN,14,14D-2,63.54855722
76,KRN,14,14C-2,58.82312853
77,KRN,14,14B-1,75.65476201
78,KRN,14,14A-2,53.55652265
79,KRN,6A,6A-3,53.34503461
80,KRN,5B,5B-8,47.83110864
81,KRN,5A,5A-6,34.83575791
82,KRN,4A,4A-4,50.91961701
83,KRN,4B,4B-3,46.88521752
