"","LIT_Strat","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","CLS_a.Low",8.5470592482564,2.06364397502948,NA,4.50239138028553,12.5917271162273
"2","CLS_b.Med",16.4800607479428,1.68495824986366,NA,13.1776032627564,19.7825182331292
"3","CLS_c.High",23.8647189319474,1.19144540449483,NA,21.5295288495917,26.199909014303
"4","KRN_a.Low",10.65717054379,0.529894855152475,NA,9.61859571209808,11.6957453754819
"5","KRN_b.Med",16.4555841152593,0.820008965516661,NA,14.8483960758467,18.0627721546719
"6","KRN_c.High",19.0649728442123,1.05401424654287,NA,16.9991428817962,21.1308028066285
"7","PIX_a.Low",14.8589927112963,0.78943880551935,NA,13.3117210844801,16.4062643381126
"8","PIX_b.Med",20.7474894078717,0.972811099132065,NA,18.840814689812,22.6541641259314
"9","PIX_c.High",20.2782642094882,1.68495824986367,NA,16.9758067243018,23.5807216946746
"10","SAC_a.Low",7.60060688483702,2.5274373747955,NA,2.64692065705738,12.5542931126167
"11","SAC_b.Med",10.4690691232499,1.40197000774604,NA,7.7212584006623,13.2168798458374
"12","SAC_c.High",15.5095115763181,2.26060871156654,NA,11.0787999185102,19.940223234126
"13","SLW_a.Low",4.29870634109293,1.26371868739775,NA,1.82186322720312,6.77554945498275
"14","SLW_b.Med",10.1941763221668,1.30516304815535,NA,7.63610375382979,12.7522488905038
"15","SLW_c.High",15.2691119496951,1.10306410326293,NA,13.1071460346607,17.4310778647294
