"","LIT_Strat","wg_g_m2","SE","lower.CL","upper.CL"
"1","KRN_a.Low",1.7347759487519,0.655373031429136,0.431718782935292,3.03783311456852
"2","KRN_b.Med",2.31619989034074,0.507649767255701,1.30685614986795,3.32554363081353
"3","KRN_c.High",2.10928861875444,0.655373031429133,0.80623145293783,3.41234578457104
"4","MDC_a.Low",1.42461123780149,0.189189898057616,1.04845103507464,1.80077144052833
"5","MDC_b.Med",2.93182389046983,0.429042360708098,2.07877273372565,3.78487504721401
"6","MDC_c.High",2.74753261360936,0.655373031429135,1.44447544779275,4.05058977942597
"7","PIX_a.Low",2.42215655498854,0.429042360708098,1.56910539824437,3.27520771173272
"8","PIX_b.Med",3.53395453734542,0.655373031429135,2.23089737152881,4.83701170316203
"9","PIX_c.High",4.27319461245642,0.429042360708098,3.42014345571225,5.1262457692006
"10","SLW_a.Low",1.73999849738938,0.29309172977913,1.15725361712255,2.32274337765621
"11","SLW_b.Med",2.42666106665238,0.507649767255702,1.41731732617958,3.43600480712517
"12","SLW_c.High",5.70880819358152,0.655373031429135,4.40575102776491,7.01186535939813
