Lit,OrgCode,OrgName,unitName,subunitName,Acres
PIX,81612,Pixley National Wildlife Refuge,1,,140.9446419
PIX,81612,Pixley National Wildlife Refuge,Deer Creek,,57.20841099
PIX,81612,Pixley National Wildlife Refuge,8B,,43.952748
PIX,81612,Pixley National Wildlife Refuge,6,,114.2578517
PIX,81612,Pixley National Wildlife Refuge,9A,,30.50898651
PIX,81612,Pixley National Wildlife Refuge,9B,,33.34415971
PIX,81612,Pixley National Wildlife Refuge,8A,,28.72779249
PIX,81612,Pixley National Wildlife Refuge,5,,137.585928
PIX,81612,Pixley National Wildlife Refuge,4,,44.63117148
PIX,81612,Pixley National Wildlife Refuge,4A,,45.14966503
PIX,81612,Pixley National Wildlife Refuge,3A,,74.1027268
PIX,81612,Pixley National Wildlife Refuge,3,,48.35518725
PIX,81612,Pixley National Wildlife Refuge,2,,49.60480961
PIX,81612,Pixley National Wildlife Refuge,2A,,55.42675333
KRN,81610,Kern National Wildlife Refuge,6A,6A-1,53.92781872
KRN,81610,Kern National Wildlife Refuge,6A,6A-2,50.00479325
KRN,81610,Kern National Wildlife Refuge,6A,6A-3,53.34534241
KRN,81610,Kern National Wildlife Refuge,6A,6A-4,28.40989043
KRN,81610,Kern National Wildlife Refuge,6A,6A-5,34.05284259
KRN,81610,Kern National Wildlife Refuge,5B,5B-1,22.79870173
KRN,81610,Kern National Wildlife Refuge,5B,5B-3,57.54379434
KRN,81610,Kern National Wildlife Refuge,5B,5B-8,47.83104262
KRN,81610,Kern National Wildlife Refuge,5B,5B-2,29.47922455
KRN,81610,Kern National Wildlife Refuge,5B,5B-7,29.7845552
KRN,81610,Kern National Wildlife Refuge,5A,5A-5,33.02811122
KRN,81610,Kern National Wildlife Refuge,5A,5A-3,52.42546203
KRN,81610,Kern National Wildlife Refuge,5A,5A-1,46.27606142
KRN,81610,Kern National Wildlife Refuge,5A,5A-7,48.5138458
KRN,81610,Kern National Wildlife Refuge,5A,5A-4,46.75431899
KRN,81610,Kern National Wildlife Refuge,5A,5A-6,34.83586386
KRN,81610,Kern National Wildlife Refuge,4A,4A-1,48.10658509
KRN,81610,Kern National Wildlife Refuge,4A,4A-4,50.91950289
KRN,81610,Kern National Wildlife Refuge,4A,4A-2,43.13179554
KRN,81610,Kern National Wildlife Refuge,4A,4A-7,45.93775015
KRN,81610,Kern National Wildlife Refuge,4B,4B-3,46.88558479
KRN,81610,Kern National Wildlife Refuge,4B,4B-2,43.65341328
KRN,81610,Kern National Wildlife Refuge,4B,4B-4,21.25171291
KRN,81610,Kern National Wildlife Refuge,North Service Ditch,North Service Ditch,8.815171228
KRN,81610,Kern National Wildlife Refuge,4A-6,,62.83984702
KRN,81610,Kern National Wildlife Refuge,Shrew Slough,,15.03544746
KRN,81610,Kern National Wildlife Refuge,4A-3,,19.64950687
KRN,81610,Kern National Wildlife Refuge,4A-5,,44.72201894
