LIT,Species,Poor,Fair,Good,Very_Good
KRN,Swamp_Timothy,0,85,180,300
PIX,Swamp_Timothy,0,85,180,300
SAC,Swamp_Timothy,0,50,100,200
CLS,Swamp_Timothy,0,50,100,200
SLW,Swamp_Timothy,0,10,40,70
MDC,Swamp_Timothy,0,20,100,160
SAL,Swamp_Timothy,0,50,100,200
KRN,Watergrass,0,5,10,20
PIX,Watergrass,0,50,100,200
SAC,Watergrass,0,50,100,200
CLS,Watergrass,0,50,100,200
SLW,Watergrass,0,12.5,25,50
MDC,Watergrass,0,5,10,20
SAL,Watergrass,0,50,100,200
KRN,Smartweed,0,5,10,20
PIX,Smartweed,0,5,10,20
SAC,Smartweed,0,5,10,20
CLS,Smartweed,0,5,10,20
SLW,Smartweed,0,1,3,5
MDC,Smartweed,0,10,50,100
SAL,Smartweed,0,5,10,20
